Name,Sex,Military/Civilian
"McBride, Jon A.",male,military
"Sullivan, Kathryn D.",female,civilian
"Leestma, David C.",male,military
"Scully-Power, Paul Desmond",male,civilian
"Garneau, Marc Joseph Jean-Pierre",male,military
"Walker, David Mathieson",male,military
"Fisher, Anna L.",female,civilian
"Shriver, Loren J.",male,military
"Onizuka, Ellison S.",male,military
"Buchli, James F.",male,military
"Payton, Gary Eugene",male,military
"Williams, Donald E.",male,military
"Seddon, Margaret Rhea",female,civilian
"Griggs, S. David",male,civilian
"Hoffman, Jeffrey A.",male,civilian
"Garn, Edwin Jacob",male,military
"Gregory, Frederick D.",male,military
"Lind, Don L.",male,military
"Lodewijk, van der Berg",male,civilian
"Wang, Taylor Gun-Jin",male,civilian
"Creighton, John O.",male,military
"Nagel, Steven R.",male,military
"Lucid, Shannon W.",female,civilian
"Baudry, Patrick",male,military
"Al-saud, Sultan bin Salman",male,civilian
"Bridges, Roy D., Jr.",male,military
"Henize, Karl G.",male,civilian
"England, Anthony W.",male,civilian
"Acton, Loren Wilbur",male,civilian
"Bartoe, John-David Francis",male,civilian
"Covey, Richard O.",male,military
"Lounge, John M.",male,civilian
"Fisher, William F.",male,civilian
"Vasyutin, Vladimir",male,military
"Volkov, Alexander",male,military
"Grabe, Ronald J.",male,military
"Hilmers, David C.",male,military
"Pailes, William Arthur",male,military
"Dunbar, Bonnie J.",female,civilian
"Furrer, Reinhard Alfred",male,civilian
"Messerschmid, Ernst Willi",male,military
"Ockels, Wubbo Johannes",male,civilian
"O'Connor, Bryan D.",male,military
"Ross, Jerry L.",male,military
"Cleave, Mary L.",female,civilian
"Spring, Sherwood C.",male,military
"Neri Vela, Rodolfl",male,civilian
"Bolden, Charles F., Jr.",male,military
"Chang-Diaz, Franklin R.",male,civilian
"Cenker, Robert Joseph",male,civilian
"Nelson, William Clarence",male,civilian
"Smith, Michael John",male,military
"Jarvis, Gregory Bruce",male,civilian
"McAuliffe, Sharon Christa Corrigan",female,civilian
"Laveykin, Aleksandr",male,civilian
"Viktorenko, Aleksandr",male,military
"Faris, M. Achmed",male,military
"Manarov, Musa",male,military
"Levchenko, Anatoli",male,military
"Solovyev, Anatoly",male,military
"Polyakov, Valeri",male,civilian
"Mohmand, Abdul Ahad",male,military
"Krikalev, Sergei",male,civilian
"Gardner, Guy S.",male,military
"Shepherd, William M.",male,military
"Blaha, John E.",male,military
"Springer, Robert C.",male,military
"Bagian, James P.",male,civilian
"Lee, Mark C.",male,military
"Richards, Richard N.",male,military
"Adamson, James C.",male,military
"Brown, Mark N.",male,military
"McCulley, Michael J.",male,military
"Baker, Ellen S.",female,civilian
"Carter, Manley Lanier, Jr.",male,military
"Thornton, Kathryn C.",female,civilian
"Wetherbee, James D.",male,military
"Ivins, Marsha S.",female,civilian
"Low, G. David",male,civilian
"Balandin, Aleksandr",male,civilian
"Casper, John H.",male,military
"Thuot, Pierre J.",male,military
"Manakov, Gennadi",male,military
"Cabana, Robert D.",male,military
"Melnick, Bruce E.",male,military
"Akers, Thomas D.",male,military
"Culbertson, Frank L., Jr.",male,military
"Meade, Carl J.",male,military
"Gemar, Charles D.",male,military
"Durrance, Samuel Thornton",male,civilian
"Parise, Ronald Anthony",male,civilian
"Afanasyev, Viktor Mikhaylovich",male,military
"Akiyama, Toyohiro",male,civilian
