id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
292,"Nelson, George D.",male,1950,U.S.,civilian,1978,1,3,MSP,1984,34,STS-41C,168,411
293,"Nelson, George D.",male,1950,U.S.,civilian,1978,2,3,MSP,1986,36,STS-61C,146,411
294,"Nelson, George D.",male,1950,U.S.,civilian,1978,3,3,MSP,1988,38,STS-26,97,411
295,"Volk, Igor",male,1937,U.S.S.R/Russia,military,1977,1,1,MSP,1984,47,Salyut 7,283,283.23
296,"Coats, Michael L.",male,1952,U.S.,military,1978,1,3,pilot,1984,32,STS-41-D,145,464
297,"Coats, Michael L.",male,1952,U.S.,military,1978,2,3,commander,1989,37,STS-29,120,464
298,"Coats, Michael L.",male,1952,U.S.,military,1978,3,3,commander,1991,39,STS-39,199,464
299,"Mullane, Richard M.",male,1945,U.S.,military,1978,1,3,MSP,1984,39,STS-41D,145,356
300,"Mullane, Richard M.",male,1945,U.S.,military,1978,2,3,MSP,1988,43,STS-27,105,356
301,"Mullane, Richard M.",male,1945,U.S.,military,1978,3,3,MSP,1990,45,STS-36,106,356
302,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,1,5,MSP,1984,33,STS-41-D,144,768
303,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,2,5,MSP,1986,35,STS-61-C,146,768
304,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,3,5,MSP,1990,39,STS-31,121,768
305,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,4,5,MSP,1997,46,STS-82,239,768
306,"Hawley, Steven A.",male,1951,U.S.,civilian,1978,5,5,MSP,1999,48,STS-93,118,768
307,"Resnik, Judith A.",female,1949,U.S.,civilian,1978,1,2,MSP,1984,35,STS-41-D,144,144
308,"Resnik, Judith A.",female,1949,U.S.,civilian,1978,2,2,MSP,1985,36,STS-51-L,0,144
309,"Walker, Charles David",male,1948,U.S.,civilian,1983,1,3,PSP,1984,36,STS-41D,144.98,478.29
310,"Walker, Charles David",male,1948,U.S.,civilian,1983,2,3,PSP,1985,37,STS-51D,168.15,478.29
311,"Walker, Charles David",male,1948,U.S.,civilian,1983,3,3,PSP,1985,37,STS-61B,165.16,478.29
312,"McBride, Jon A.",male,1943,U.S.,military,1978,1,1,pilot,1984,41,STS-41-G,197,197
313,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,1,3,MSP,1984,33,STS-41-G,197.5,532
314,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,2,3,MSP,1990,39,STS-31,121,532
315,"Sullivan, Kathryn D.",female,1951,U.S.,civilian,1978,3,3,MSP,1992,41,STS-45,213.5,532
316,"Leestma, David C.",male,1949,U.S.,military,1980,1,3,MSP,1984,35,STS-41-G,197,532
317,"Leestma, David C.",male,1949,U.S.,military,1980,2,3,MSP,1989,40,STS-28,121,532
318,"Leestma, David C.",male,1949,U.S.,military,1980,3,3,MSP,1992,43,STS-45,214,532
319,"Scully-Power, Paul Desmond",male,1944,U.S.,civilian,1984,1,1,PSP,1984,40,STS-41-G,197.67,197.67
320,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,1,3,PSP,1984,35,STS-41-G,197,697.67
321,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,2,3,MSP,1996,47,STS-77,240.67,697.67
322,"Garneau, Marc Joseph Jean-Pierre",male,1949,Canada,military,1983,3,3,MSP,2000,51,STS-97,260,697.67
323,"Walker, David Mathieson",male,1944,U.S.,military,1978,1,4,pilot,1984,40,STS-51-A,191,724.45
324,"Walker, David Mathieson",male,1944,U.S.,military,1978,2,4,commander,1989,45,STS-30,96,724.45
325,"Walker, David Mathieson",male,1944,U.S.,military,1978,3,4,commander,1992,48,STS-53,175,724.45
326,"Walker, David Mathieson",male,1944,U.S.,military,1978,4,4,commander,1995,51,STS-69,44,724.45
327,"Fisher, Anna L.",female,1949,U.S.,civilian,1978,1,1,MSP,1984,35,STS-51-A,191,191
328,"Shriver, Loren J.",male,1944,U.S.,military,1978,1,3,pilot,1985,41,STS-51-C,73.5,386
329,"Shriver, Loren J.",male,1944,U.S.,military,1978,2,3,commander,1990,46,STS-31,121,386
330,"Shriver, Loren J.",male,1944,U.S.,military,1978,3,3,commander,1992,48,STS-46,191,386
331,"Onizuka, Ellison S.",male,1946,U.S.,military,1978,1,2,MSP,1985,39,STS 51-C,74,74
332,"Onizuka, Ellison S.",male,1946,U.S.,military,1978,2,2,MSP,1986,40,STS 51-L,0,74
333,"Buchli, James F.",male,1945,U.S.,military,1978,1,4,MSP,1985,40,STS-51-C,73.5,490
334,"Buchli, James F.",male,1945,U.S.,military,1978,2,4,MSP,1985,40,STS-61-A,168,490
335,"Buchli, James F.",male,1945,U.S.,military,1978,3,4,MSP,1989,44,STS-29,120,490
336,"Buchli, James F.",male,1945,U.S.,military,1978,4,4,MSP,1991,46,STS-48,128.5,490
337,"Payton, Gary Eugene",male,1948,U.S.,military,1979,1,1,PSP,1985,37,STS-51C,73.675,73.675
338,"Williams, Donald E.",male,1942,U.S.,military,1978,1,2,pilot,1985,43,STS-51-D,167,286
339,"Williams, Donald E.",male,1942,U.S.,military,1978,2,2,commander,1989,47,STS-34,119,286
340,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,1,3,MSP,1985,38,STS-51-D,168,722
341,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,2,3,MSP,1991,44,STS-40,218,722
342,"Seddon, Margaret Rhea",female,1947,U.S.,civilian,1978,3,3,MSP,1993,46,STS-58,336,722
343,"Griggs, S. David",male,1947,U.S.,civilian,1978,1,1,MSP,1985,38,STS-51-D,168,168
344,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,1,5,MSP,1985,41,STS-51-D,167,1211.9
345,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,2,5,MSP,1990,46,STS-35,215,1211.9
346,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,3,5,MSP,1992,48,STS-46,191,1211.9
347,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,4,5,MSP,1993,49,STS-61,259,1211.9
348,"Hoffman, Jeffrey A.",male,1944,U.S.,civilian,1978,5,5,MSP,1996,52,STS-75,377,1211.9
349,"Garn, Edwin Jacob",male,1932,U.S.,military,1985,1,1,PSP,1985,53,STS-51D,168.15,168.15
350,"Gregory, Frederick D.",male,1941,U.S.,military,1978,1,3,pilot,1985,44,STS-51-B,168,455
351,"Gregory, Frederick D.",male,1941,U.S.,military,1978,2,3,commander,1989,48,STS-33,120,455
352,"Gregory, Frederick D.",male,1941,U.S.,military,1978,3,3,commander,1991,50,STS-44,166,455
353,"Lind, Don L.",male,1930,U.S.,military,1966,1,1,MSP,1985,55,STS-51-B,168,168
354,"Lodewijk, van der Berg",male,1932,U.S.,civilian,1983,1,1,PSP,1985,53,Spacelab-3,168.525,168.525
355,"Wang, Taylor Gun-Jin",male,1940,U.S.,civilian,1984,1,1,PSP,1985,45,spacelab-3,168.525,168.525
356,"Creighton, John O.",male,1943,U.S.,military,1978,1,3,pilot,1985,42,STS-51-G,170,404
357,"Creighton, John O.",male,1943,U.S.,military,1978,2,3,commander,1990,47,STS-36,106,404
358,"Creighton, John O.",male,1943,U.S.,military,1978,3,3,commander,1991,48,STS-48,128,404
359,"Nagel, Steven R.",male,1946,U.S.,military,1978,1,4,MSP,1985,39,STS-51G,170,522
360,"Nagel, Steven R.",male,1946,U.S.,military,1978,2,4,pilot,1985,39,STS-61A,169,522
361,"Nagel, Steven R.",male,1946,U.S.,military,1978,3,4,commander,1991,45,STS-37,143,522
362,"Nagel, Steven R.",male,1946,U.S.,military,1978,4,4,commander,1993,47,STS-55,240,522
363,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,1,5,MSP,1985,42,STS-51-G,169,5353
364,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,2,5,MSP,1989,46,STS-34,119,5353
365,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,3,5,MSP,1991,48,STS-43,213,5353
366,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,4,5,MSP,1993,50,STS-58,336,5353
367,"Lucid, Shannon W.",female,1943,U.S.,civilian,1978,5,5,MSP,1996,53,22,4516,5353
368,"Baudry, Patrick",male,1946,France,military,1980,1,1,PSP,1985,39,STS-51G,169.63,169.63
369,"Al-saud, Sultan bin Salman",male,1956,Saudi Arabia,civilian,1985,1,1,PSP,1985,29,STS-51G,170,170
370,"Bridges, Roy D., Jr.",male,1943,U.S.,military,1980,1,1,pilot,1985,42,STS-51-F,190,190
371,"Henize, Karl G.",male,1926,U.S.,civilian,1967,1,1,MSP,1985,59,STS-51-F,190,190.75
372,"England, Anthony W.",male,1942,U.S.,civilian,1967,1,1,MSP,1985,43,STS-51-F,190,190
373,"Acton, Loren Wilbur",male,1936,U.S.,civilian,1978,1,1,PSP,1978,42,Spacelab-2,190.94,190.94
374,"Bartoe, John-David Francis",male,1944,U.S.,civilian,1978,1,1,PSP,1978,34,STS-51-F,190.94,190.94
375,"Covey, Richard O.",male,1946,U.S.,military,1978,1,4,pilot,1985,39,STS-51-I,170,645
376,"Covey, Richard O.",male,1946,U.S.,military,1978,2,4,pilot,1988,42,STS-26,97,645
377,"Covey, Richard O.",male,1946,U.S.,military,1978,3,4,commander,1990,44,STS-38,118,645
378,"Covey, Richard O.",male,1946,U.S.,military,1978,4,4,commander,1993,47,STS-61,260,645
379,"Lounge, John M.",male,1946,U.S.,civilian,1980,1,3,MSP,1985,39,STS-51-I,170,482
380,"Lounge, John M.",male,1946,U.S.,civilian,1980,2,3,MSP,1988,42,STS-26,97,482
381,"Lounge, John M.",male,1946,U.S.,civilian,1980,3,3,MSP,1990,44,STS-35,215,482
382,"Fisher, William F.",male,1946,U.S.,civilian,1980,1,1,MSP,1985,39,STS-51-I,170,170
383,"Vasyutin, Vladimir",male,1952,U.S.S.R/Russia,military,1976,1,1,commander,1985,33,Salyut 7,1557,1557.87
384,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,1,3,MSP,1985,37,Salyut 7,1557,9395.87
385,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,2,3,MSP,1989,41,4,3635,9395.87
386,"Volkov, Alexander",male,1948,U.S.S.R/Russia,military,1976,3,3,MSP,1992,44,10,4202,9395.87
387,"Grabe, Ronald J.",male,1945,U.S.,military,1980,1,4,pilot,1985,40,STS-51-J,97.73,626.73
388,"Grabe, Ronald J.",male,1945,U.S.,military,1980,2,4,pilot,1989,44,STS-30,97,626.73
389,"Grabe, Ronald J.",male,1945,U.S.,military,1980,3,4,commander,1992,47,STS-42,193,626.73
390,"Grabe, Ronald J.",male,1945,U.S.,military,1980,4,4,commander,1993,48,STS-57,239,626.73
391,"Hilmers, David C.",male,1950,U.S.,military,1980,1,4,MSP,1985,35,STS-51-J,97,493
392,"Hilmers, David C.",male,1950,U.S.,military,1980,2,4,MSP,1988,38,STS-26,97,493
393,"Hilmers, David C.",male,1950,U.S.,military,1980,3,4,MSP,1990,40,STS-36,106,493
394,"Hilmers, David C.",male,1950,U.S.,military,1980,4,4,MSP,1992,42,STS-42,193,493
395,"Pailes, William Arthur",male,1936,U.S.,military,1982,1,1,PSP,1985,49,STS-51-J,98.11,98.11
396,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,1,5,MSP,1985,36,STS-61-A,168,1208
397,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,2,5,MSP,1990,41,STS-32,261,1208
398,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,3,5,MSP,1992,43,STS-50,331,1208
399,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,4,5,MSP,1995,46,STS-71,235,1208
400,"Dunbar, Bonnie J.",female,1949,U.S.,civilian,1980,5,5,MSP,1998,49,STS-89,211,1208
401,"Furrer, Reinhard Alfred",male,1940,Germany,civilian,1982,1,1,PSP,1985,45,STS-61A,168.73,168.73
402,"Messerschmid, Ernst Willi",male,1945,Germany,military,1982,1,1,PSP,1985,40,STS-61A,168.73,168.73
403,"Ockels, Wubbo Johannes",male,1946,Netherland,civilian,1978,1,1,PSP,1985,39,STS-61-A,168.73,168.73
404,"O'Connor, Bryan D.",male,1946,U.S.,military,1980,1,2,pilot,1985,39,STS-61B Atlantis,165,386
405,"O'Connor, Bryan D.",male,1946,U.S.,military,1980,2,2,commander,1991,45,STS-40 Columbia,218,386
406,"Ross, Jerry L.",male,1948,U.S.,military,1980,1,7,MSP,1985,37,STS-61,165,1393
407,"Ross, Jerry L.",male,1948,U.S.,military,1980,2,7,MSP,1988,40,STS-27,105,1393
408,"Ross, Jerry L.",male,1948,U.S.,military,1980,3,7,MSP,1991,43,STS-37,143,1393
409,"Ross, Jerry L.",male,1948,U.S.,military,1980,4,7,MSP,1993,45,STS-55,239,1393
410,"Ross, Jerry L.",male,1948,U.S.,military,1980,5,7,MSP,1995,47,STS-74,129,1393
411,"Ross, Jerry L.",male,1948,U.S.,military,1980,6,7,MSP,1998,50,STS-88,283,1393
412,"Ross, Jerry L.",male,1948,U.S.,military,1980,7,7,MSP,2002,54,STS-110,259,1393
413,"Cleave, Mary L.",female,1947,U.S.,civilian,1980,1,2,MSP,1985,38,STS-30,97,262
414,"Cleave, Mary L.",female,1947,U.S.,civilian,1980,2,2,MSP,1989,42,STS-61-B,165,262
415,"Spring, Sherwood C.",male,1944,U.S.,military,1980,1,1,MSP,1985,41,STS-61-B,165,165
416,"Neri Vela, Rodolfl",male,1952,Mexico,civilian,1985,1,1,PSP,1985,33,STS-61-B,165.07,165.67
417,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,1,4,pilot,1986,40,STS-61-C,74,680
418,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,2,4,pilot,1990,44,STS-31,121,680
419,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,3,4,commander,1992,46,STS-45,214,680
420,"Bolden, Charles F., Jr.",male,1946,U.S.,military,1980,4,4,commander,1994,48,STS-60,199,680
421,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,1,7,MSP,1986,36,STS-61-C,146,1601
422,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,2,7,MSP,1989,39,STS-34,120,1601
423,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,3,7,MSP,1992,42,STS-46,191,1601
424,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,4,7,MSP,1994,44,STS-60,199,1601
425,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,5,7,MSP,1996,46,STS-75,377,1601
426,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,6,7,MSP,1998,48,STS-91,236,1601
427,"Chang-Diaz, Franklin R.",male,1950,U.S.,civilian,1980,7,7,MSP,2002,52,STS-111,333,1601
428,"Cenker, Robert Joseph",male,1948,U.S.,civilian,1985,1,1,PSP,1986,38,STS-61C,146.42,146.42
429,"Nelson, William Clarence",male,1942,U.S.,civilian,1984,1,1,PSP,1986,44,STS-61C,6.03,6.03
430,"Smith, Michael John",male,1945,U.S.,military,1980,1,1,pilot,1986,41,STS-51L,0.61,0.61
431,"Jarvis, Gregory Bruce",male,1944,U.S.,civilian,1984,1,1,PSP,1986,42,STS-51L,0.61,0.61
432,"McAuliffe, Sharon Christa Corrigan",female,1948,U.S.,civilian,1985,1,1,PSP,1986,38,STS-51L,0.61,0.61
433,"Laveykin, Aleksandr",male,1951,U.S.S.R/Russia,civilian,1978,1,1,flight engineer,1987,36,2,4179,4179.42
434,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,1,4,commander,1987,40,1,191,11737.55
435,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,2,4,commander,1990,43,5,3990,11737.55
436,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,3,4,commander,1992,45,11,3494,11737.55
437,"Viktorenko, Aleksandr",male,1947,U.S.S.R/Russia,military,1978,4,4,commander,1994,47,17,4061,11737.55
438,"Faris, M. Achmed",male,1951,Syria,military,1985,1,1,MSP,1987,36,1,191,191
439,"Manarov, Musa",male,1951,U.S.S.R/Russia,military,1978,1,2,flight engineer,1987,36,3,8782,12984.47
440,"Manarov, Musa",male,1951,U.S.S.R/Russia,military,1978,2,2,flight engineer,1990,39,8,4201,12984.47
441,"Levchenko, Anatoli",male,1941,U.S.S.R/Russia,military,1977,1,1,MSP,1987,46,Soyuz TM­4/3,189,189.97
442,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,1,5,commander,1988,40,2,236,15624.03
443,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,2,5,commander,1990,42,6,4297,15624.03
444,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,3,5,commander,1993,45,12,4533,15624.03
445,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,4,5,commander,1995,47,19,1811,15624.03
446,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,5,5,commander,1997,49,24,4745,15624.03
447,"Aleksandrov, Aleksandr",male,1951,Bulgaria,military,1978,1,1,pilot,1988,37,2,47,47
448,"Polyakov, Valeri",male,1942,U.S.S.R/Russia,civilian,1972,1,2,flight engineer,1988,46,3,5782,16288.53
449,"Polyakov, Valeri",male,1942,U.S.S.R/Russia,civilian,1972,2,2,MSP,1994,52,15,10505,16288.53
450,"Mohmand, Abdul Ahad",male,1959,Afghanistan,military,1988,1,1,MSP,1988,29,3,212,212
451,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,1,6,flight engineer,1988,30,4,3635,19281.65
452,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,2,6,flight engineer,1991,33,9,7484,19281.65
453,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,3,6,flight engineer,1994,36,STS­60,199,19281.65
454,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,4,6,flight engineer,1998,40,STS­88,283,19281.65
455,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,5,6,flight engineer,2000,42,1,3383,19281.65
456,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,6,6,commander,2005,47,11,4296,19281.65
457,"Gardner, Guy S.",male,1948,U.S.,military,1980,1,2,pilot,1988,40,STS-27,105,320.16
458,"Gardner, Guy S.",male,1948,U.S.,military,1980,2,2,pilot,1990,42,STS-35,215,320.16
459,"Shepherd, William M.",male,1949,U.S.,military,1984,1,4,MSP,1988,39,STS-27,105,3721
460,"Shepherd, William M.",male,1949,U.S.,military,1984,2,4,MSP,1990,41,STS-41,98,3721
461,"Shepherd, William M.",male,1949,U.S.,military,1984,3,4,MSP,1992,43,STS-52,237,3721
462,"Shepherd, William M.",male,1949,U.S.,military,1984,4,4,flight engineer,2000,51,1,3281,3721
463,"Blaha, John E.",male,1942,U.S.,military,1980,1,5,pilot,1989,47,STS-29,120,3864
464,"Blaha, John E.",male,1942,U.S.,military,1980,2,5,pilot,1989,47,STS-33,120,3864
465,"Blaha, John E.",male,1942,U.S.,military,1980,3,5,commander,1991,49,STS-43,213,3864
466,"Blaha, John E.",male,1942,U.S.,military,1980,4,5,commander,1993,51,STS-58,336,3864
467,"Blaha, John E.",male,1942,U.S.,military,1980,5,5,MSP,1996,54,22,3077,3864
468,"Springer, Robert C.",male,1942,U.S.,military,1980,1,2,MSP,1989,47,STS-29,119,237
469,"Springer, Robert C.",male,1942,U.S.,military,1980,2,2,MSP,1990,48,STS-38,118,237
470,"Bagian, James P.",male,1952,U.S.,civilian,1980,1,2,MSP,1989,37,STS-29,120,338
471,"Bagian, James P.",male,1952,U.S.,civilian,1980,2,2,MSP,1991,39,STS-40,218,338
472,"Lee, Mark C.",male,1952,U.S.,military,1984,1,4,MSP,1989,37,STS-30,97,789.76
473,"Lee, Mark C.",male,1952,U.S.,military,1984,2,4,MSP,1992,40,STS-47,190,789.76
474,"Lee, Mark C.",male,1952,U.S.,military,1984,3,4,MSP,1994,42,STS-64,262,789.76
475,"Lee, Mark C.",male,1952,U.S.,military,1984,4,4,MSP,1997,45,STS-82,239,789.76
476,"Richards, Richard N.",male,1946,U.S.,military,1980,1,4,pilot,1989,43,STS-28,120,813
477,"Richards, Richard N.",male,1946,U.S.,military,1980,2,4,commander,1990,44,STS-41,96,813
478,"Richards, Richard N.",male,1946,U.S.,military,1980,3,4,commander,1992,46,STS-50,336,813
479,"Richards, Richard N.",male,1946,U.S.,military,1980,4,4,commander,1994,48,STS-64,242,813
480,"Adamson, James C.",male,1946,U.S.,military,1984,1,2,MSP,1989,43,STS-28,121,334
481,"Adamson, James C.",male,1946,U.S.,military,1984,2,2,MSP,1991,45,STS-43,213,334
482,"Brown, Mark N.",male,1951,U.S.,military,1984,1,2,MSP,1989,38,STS-28,121,249
483,"Brown, Mark N.",male,1951,U.S.,military,1984,2,2,MSP,1991,40,STS-48,128,249
484,"McCulley, Michael J.",male,1943,U.S.,military,1984,1,1,pilot,1989,46,STS-34,119,119
485,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,1,3,MSP,1989,36,STS-34,120,686
486,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,2,3,MSP,1992,39,STS-50,331,686
487,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,3,3,MSP,1995,42,STS-71,235,686
488,"Carter, Manley Lanier, Jr.",male,1947,U.S.,military,1984,1,1,MSP,1989,42,STS-33,120,120
489,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,1,4,MSP,1989,37,STS-33,120,975.23
490,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,2,4,MSP,1992,40,STS-49,213,975.23
491,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,3,4,MSP,1993,41,STS-61,264,975.23
492,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,4,4,MSP,1995,43,STS-73,360,975.23
493,"Wetherbee, James D.",male,1952,U.S.,military,1984,1,6,pilot,1990,38,STS-32,261,1594.38
494,"Wetherbee, James D.",male,1952,U.S.,military,1984,2,6,commander,1992,40,STS-52,236,1594.38
495,"Wetherbee, James D.",male,1952,U.S.,military,1984,3,6,commander,1995,43,STS-63,198,1594.38
496,"Wetherbee, James D.",male,1952,U.S.,military,1984,4,6,commander,1997,45,STS-86,259,1594.38
497,"Wetherbee, James D.",male,1952,U.S.,military,1984,5,6,commander,2001,49,STS-102,307,1594.38
498,"Wetherbee, James D.",male,1952,U.S.,military,1984,6,6,commander,2002,50,STS-113,330,1594.38
499,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,1,5,MSP,1990,39,STS-32,261,1341.8
500,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,2,5,MSP,1992,41,STS-46,191,1341.8
501,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,3,5,MSP,1994,43,STS-62,335,1341.8
502,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,4,5,MSP,1997,46,STS-81,244,1341.8
503,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,5,5,MSP,2001,50,STS-98,309,1341.8
504,"Low, G. David",male,1956,U.S.,civilian,1984,1,3,MSP,1990,34,STS-32,261,713
505,"Low, G. David",male,1956,U.S.,civilian,1984,2,3,MSP,1991,35,STS-43,213,713
506,"Low, G. David",male,1956,U.S.,civilian,1984,3,3,MSP,1993,37,STS-57,239,713
507,"Balandin, Aleksandr",male,1953,U.S.S.R/Russia,civilian,1978,1,1,flight engineer,1990,37,6,4297,4297.28
508,"Casper, John H.",male,1943,U.S.,military,1984,1,4,pilot,1990,47,STS-36,106,825
509,"Casper, John H.",male,1943,U.S.,military,1984,2,4,commander,1993,50,STS-54,143,825
510,"Casper, John H.",male,1943,U.S.,military,1984,3,4,commander,1994,51,STS-62,335,825
511,"Casper, John H.",male,1943,U.S.,military,1984,4,4,commander,1996,53,STS-77,241,825
512,"Thuot, Pierre J.",male,1955,U.S.,military,1985,1,3,MSP,1990,35,STS-36,106,654.85
513,"Thuot, Pierre J.",male,1955,U.S.,military,1985,2,3,MSP,1992,37,STS-49,213,654.85
514,"Thuot, Pierre J.",male,1955,U.S.,military,1985,3,3,MSP,1994,39,STS-62,335,654.85
515,"Manakov, Gennadi",male,1950,U.S.S.R/Russia,military,1985,1,2,commander,1990,40,7,3140,7437.3
516,"Manakov, Gennadi",male,1950,U.S.S.R/Russia,military,1985,2,2,commander,1993,43,13,4296,7437.3
517,"Cabana, Robert D.",male,1949,U.S.,military,1985,1,4,pilot,1990,41,STS-41,98,910
518,"Cabana, Robert D.",male,1949,U.S.,military,1985,2,4,pilot,1992,43,STS-53,175,910
519,"Cabana, Robert D.",male,1949,U.S.,military,1985,3,4,commander,1994,45,STS-65,354,910
520,"Cabana, Robert D.",male,1949,U.S.,military,1985,4,4,commander,1998,49,STS-88,283,910
521,"Melnick, Bruce E.",male,1949,U.S.,military,1987,1,2,MSP,1990,41,STS-41,98,311
522,"Melnick, Bruce E.",male,1949,U.S.,military,1987,2,2,MSP,1992,43,STS-49,213,311
523,"Akers, Thomas D.",male,1951,U.S.,military,1987,1,4,MSP,1990,39,STS-41,98,814
524,"Akers, Thomas D.",male,1951,U.S.,military,1987,2,4,MSP,1992,41,STS-49,213,814
525,"Akers, Thomas D.",male,1951,U.S.,military,1987,3,4,MSP,1993,42,STS-61,260,814
526,"Akers, Thomas D.",male,1951,U.S.,military,1987,4,4,MSP,1996,45,STS-79,243,814
527,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,1,3,pilot,1990,41,STS-38,118,3447
528,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,2,3,commander,1993,44,STS-51,236,3447
529,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,3,3,commander,2001,52,3,3093,3447
530,"Meade, Carl J.",male,1950,U.S.,military,1985,1,3,MSP,1990,40,STS-38,117,710
531,"Meade, Carl J.",male,1950,U.S.,military,1985,2,3,MSP,1992,42,STS-50,331,710
532,"Meade, Carl J.",male,1950,U.S.,military,1985,3,3,MSP,1994,44,STS-64,262,710
533,"Gemar, Charles D.",male,1955,U.S.,military,1985,1,3,MSP,1990,35,STS-38,118,581.5
534,"Gemar, Charles D.",male,1955,U.S.,military,1985,2,3,MSP,1991,36,STS-48,128.5,581.5
535,"Gemar, Charles D.",male,1955,U.S.,military,1985,3,3,MSP,1994,39,STS-62,335,581.5
536,"Durrance, Samuel Thornton",male,1943,U.S.,civilian,1984,1,2,PSP,1990,47,Astro-1,215.15,614.69
537,"Durrance, Samuel Thornton",male,1943,U.S.,civilian,1984,2,2,PSP,1995,52,Astro-2,399.54,614.69
538,"Parise, Ronald Anthony",male,1951,U.S.,civilian,1984,1,2,PSP,1990,39,STS-35,215.15,614.69
539,"Parise, Ronald Anthony",male,1951,U.S.,civilian,1984,2,2,PSP,1995,44,STS-67,399.54,614.69
540,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,1,4,commander,1991,43,8,4201,13338.55
541,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,2,4,commander,1994,46,15,4368,13338.55
542,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,3,4,commander,1999,51,27,4532,13338.55
543,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,4,4,commander,2001,53,Soyuz TM­33/32,236.208,13338.55
