id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
215,"Savitskaya, Svetlana",female,1948,U.S.S.R/Russia,civilian,1980,1,2,MSP,1982,34,Salyut 7,189,473.1
216,"Savitskaya, Svetlana",female,1948,U.S.S.R/Russia,civilian,1980,2,2,flight engineer,1984,36,Salyut 7,283,473.1
217,"Overmyer, Robert F.",male,1936,U.S.,military,1966,1,2,pilot,1982,46,STS-5,122,290
218,"Overmyer, Robert F.",male,1936,U.S.,military,1966,2,2,commander,1985,49,STS-51-B,168,290
219,"Allen, Joseph P.",male,1937,U.S.,civilian,1967,1,2,MSP,1982,45,STS-5,122,314
220,"Allen, Joseph P.",male,1937,U.S.,civilian,1967,2,2,MSP,1984,47,STS-51-A,191,314
221,"Lenoir, William B.",male,1939,U.S.,civilian,1967,1,1,MSP,1982,43,STS-5,122,122
222,"Bobko, Karol J.",male,1937,U.S.,military,1969,1,3,pilot,1983,46,STS-6,122,386
223,"Bobko, Karol J.",male,1937,U.S.,military,1969,2,3,commander,1985,48,STS-51-D,236,386
224,"Bobko, Karol J.",male,1937,U.S.,military,1969,3,3,commander,1985,48,STS-51-J,98,386
225,"Peterson, Donald H.",male,1933,U.S.,military,1969,1,1,MSP,1983,50,STS-6,120,120
226,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,1,6,MSP,1983,48,STS-6,120,1281
227,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,2,6,MSP,1985,50,STS-51F,191,1281
228,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,3,6,MSP,1989,54,STS-33,168,1281
229,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,4,6,MSP,1991,56,STS-44,167,1281
230,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,5,6,MSP,1993,58,STS-61,260,1281
231,"Musgrave, Franklin Story",male,1935,U.S.,civilian,1967,6,6,MSP,1996,61,STS-80,424,1281
232,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,1,4,commander,1983,36,Soyuz T­8,48,9288.75
233,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,2,4,commander,1988,41,3,8782,9288.75
234,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,3,4,MSP,1995,48,STS­63,198,9288.75
235,"Titov, Vladimir",male,1947,U.S.S.R/Russia,military,1976,4,4,commander,1997,50,24,259,9288.75
236,"Hauck, Frederick H.",male,1941,U.S.,military,1978,1,3,pilot,1983,42,STS-7,146,434
237,"Hauck, Frederick H.",male,1941,U.S.,military,1978,2,3,commander,1984,43,STS-51-A,191,434
238,"Hauck, Frederick H.",male,1941,U.S.,military,1978,3,3,commander,1988,47,STS-26,97,434
239,"Fabian, John M.",male,1939,U.S.,military,1978,1,2,MSP,1983,44,STS-7,146,316
240,"Fabian, John M.",male,1939,U.S.,military,1978,2,2,MSP,1985,46,STS-51-G,170,316
241,"Ride, Sally K.",female,1951,U.S.,civilian,1978,1,2,MSP,1983,32,STS-7,147,343
242,"Ride, Sally K.",female,1951,U.S.,civilian,1978,2,2,MSP,1984,33,STS-41-G,197,343
243,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,1,5,MSP,1983,40,STS-7,147,3373.4
244,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,2,5,MSP,1985,42,STS-51B,168,3373.4
245,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,3,5,MSP,1989,46,STS-30,97,3373.4
246,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,4,5,MSP,1992,49,STS-42,192,3373.4
247,"Thagard, Norman E.",male,1943,U.S.,civilian,1978,5,5,MSP,1995,52,18,2760,3373.4
248,"Aleksandrov, Aleksandr",male,1943,U.S.S.R/Russia,civilian,1978,1,2,flight engineer,1983,40,Salyut 7,3586,7434.03
249,"Aleksandrov, Aleksandr",male,1943,U.S.S.R/Russia,civilian,1978,2,2,flight engineer,1987,44,2,3847,7434.03
250,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,1,4,pilot,1983,40,STS-8,145,789
251,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,2,4,commander,1985,42,STS-51-G,170,789
252,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,3,4,commander,1990,47,STS-32,261,789
253,"Brandenstein, Daniel C.",male,1943,U.S.,military,1978,4,4,commander,1992,49,STS-49,213,789
254,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,1,4,MSP,1983,41,STS-8,31,688
255,"Bluford, Guion S., Jr.",male,1942,U.S.,military,1978,2,4,MSP,1985,43,STS-61-A,168,688
